Day of Week Ending,Lineage Bin,Modeltype,Usa Or Hhsregion,Variant,95CI,Share
23-Oct-21,VOC,weighted,7,B.1.1.529,NA,0
30-Oct-21,VOC,weighted,7,B.1.1.529,NA,0
6-Nov-21,VOC,weighted,7,B.1.1.529,NA,0
13-Nov-21,VOC,weighted,7,B.1.1.529,NA,0
20-Nov-21,VOC,weighted,7,B.1.1.529,NA,0
27-Nov-21,VOC,weighted,7,B.1.1.529,0.0-0.7%,0.00125979
4-Dec-21,VOC,weighted,7,B.1.1.529,0.0-0.6%,0.00096414
11-Dec-21,VOC,weighted,7,B.1.1.529,0.2-2.4%,0.008339774
18-Dec-21,VOC,weighted,7,B.1.1.529,2.6-18.4%,0.081298694
8-May-21,VOC,weighted,8,B.1.617.2,1.9-4.9%,0.031482317
15-May-21,VOC,weighted,8,B.1.617.2,4.4-10.9%,0.071675494
22-May-21,VOC,weighted,8,B.1.617.2,6.1-11.1%,0.083641678
29-May-21,VOC,weighted,8,B.1.617.2,16.1-29.3%,0.22189112
5-Jun-21,VOC,weighted,8,B.1.617.2,24.5-42.2%,0.328924954
12-Jun-21,VOC,weighted,8,B.1.617.2,41.4-62.2%,0.518622398
19-Jun-21,VOC,weighted,8,B.1.617.2,47.2-72.9%,0.605545878
26-Jun-21,VOC,weighted,8,B.1.617.2,66.1-86.1%,0.771989048
3-Jul-21,VOC,weighted,8,B.1.617.2,81.2-90.2%,0.861048698
10-Jul-21,VOC,weighted,8,B.1.617.2,83.5-89.9%,0.869112015
17-Jul-21,VOC,weighted,8,B.1.617.2,90.0-95.4%,0.930800438
24-Jul-21,VOC,weighted,8,B.1.617.2,94.8-97.3%,0.961845636
31-Jul-21,VOC,weighted,8,B.1.617.2,95.7-97.8%,0.968908072
7-Aug-21,VOC,weighted,8,B.1.617.2,97.2-99.3%,0.985027134
14-Aug-21,VOC,weighted,8,B.1.617.2,96.7-99.3%,0.983064294
21-Aug-21,VOC,weighted,8,B.1.617.2,99.1-99.9%,0.996780753
28-Aug-21,VOC,weighted,8,B.1.617.2,97.7-99.9%,0.992696226
4-Sep-21,VOC,weighted,8,B.1.617.2,97.6-99.8%,0.991456985
11-Sep-21,VOC,weighted,8,B.1.617.2,98.3-99.9%,0.993906915
18-Sep-21,VOC,weighted,8,B.1.617.2,98.5-99.8%,0.994165301
25-Sep-21,VOC,weighted,8,B.1.617.2,98.6-99.9%,0.994848907
2-Oct-21,VOC,weighted,8,B.1.617.2,99.3-100.0%,0.99795872
9-Oct-21,VOC,weighted,8,B.1.617.2,97.8-99.9%,0.99309355
16-Oct-21,VOC,weighted,8,B.1.617.2,98.8-99.9%,0.995294571
23-Oct-21,VOC,weighted,8,B.1.617.2,98.0-99.9%,0.993560076
30-Oct-21,VOC,weighted,8,B.1.617.2,98.6-100.0%,0.996809304
6-Nov-21,VOC,weighted,8,B.1.617.2,97.3-99.9%,0.993082881
13-Nov-21,VOC,weighted,8,B.1.617.2,96.3-99.9%,0.990408778
20-Nov-21,VOC,weighted,8,B.1.617.2,95.7-99.9%,0.990439653
27-Nov-21,VOC,weighted,8,B.1.617.2,99.0-99.8%,0.994741976
4-Dec-21,VOC,weighted,8,B.1.617.2,99.2-99.8%,0.996083498
11-Dec-21,VOC,weighted,8,B.1.617.2,71.5-99.8%,0.936080039
18-Dec-21,VOC,weighted,8,B.1.617.2,5.2-99.3%,0.628430068
8-May-21,VOC,weighted,8,B.1.1.529,NA,0
15-May-21,VOC,weighted,8,B.1.1.529,NA,0
22-May-21,VOC,weighted,8,B.1.1.529,NA,0
29-May-21,VOC,weighted,8,B.1.1.529,NA,0
5-Jun-21,VOC,weighted,8,B.1.1.529,NA,0
12-Jun-21,VOC,weighted,8,B.1.1.529,NA,0
19-Jun-21,VOC,weighted,8,B.1.1.529,NA,0
26-Jun-21,VOC,weighted,8,B.1.1.529,NA,0
3-Jul-21,VOC,weighted,8,B.1.1.529,NA,0
10-Jul-21,VOC,weighted,8,B.1.1.529,NA,0
17-Jul-21,VOC,weighted,8,B.1.1.529,NA,0
24-Jul-21,VOC,weighted,8,B.1.1.529,NA,0
31-Jul-21,VOC,weighted,8,B.1.1.529,NA,0
7-Aug-21,VOC,weighted,8,B.1.1.529,NA,0
14-Aug-21,VOC,weighted,8,B.1.1.529,NA,0
21-Aug-21,VOC,weighted,8,B.1.1.529,NA,0
28-Aug-21,VOC,weighted,8,B.1.1.529,NA,0
4-Sep-21,VOC,weighted,8,B.1.1.529,NA,0
11-Sep-21,VOC,weighted,8,B.1.1.529,NA,0
18-Sep-21,VOC,weighted,8,B.1.1.529,NA,0
25-Sep-21,VOC,weighted,8,B.1.1.529,NA,0
2-Oct-21,VOC,weighted,8,B.1.1.529,NA,0
9-Oct-21,VOC,weighted,8,B.1.1.529,NA,0
16-Oct-21,VOC,weighted,8,B.1.1.529,NA,0
23-Oct-21,VOC,weighted,8,B.1.1.529,NA,0
30-Oct-21,VOC,weighted,8,B.1.1.529,NA,0
6-Nov-21,VOC,weighted,8,B.1.1.529,NA,0
13-Nov-21,VOC,weighted,8,B.1.1.529,NA,0
20-Nov-21,VOC,weighted,8,B.1.1.529,NA,0
27-Nov-21,VOC,weighted,8,B.1.1.529,0.1-1.0%,0.003596108
4-Dec-21,VOC,weighted,8,B.1.1.529,0.1-0.7%,0.003537783
11-Dec-21,VOC,weighted,8,B.1.1.529,0.2-28.9%,0.061026938
18-Dec-21,VOC,weighted,8,B.1.1.529,0.6-94.9%,0.366986364
8-May-21,VOC,weighted,9,B.1.617.2,1.5-5.3%,0.029952463
15-May-21,VOC,weighted,9,B.1.617.2,2.4-4.9%,0.03514047
22-May-21,VOC,weighted,9,B.1.617.2,2.1-5.9%,0.036401935
29-May-21,VOC,weighted,9,B.1.617.2,8.2-14.9%,0.112408876
5-Jun-21,VOC,weighted,9,B.1.617.2,12.6-30.7%,0.20616965
12-Jun-21,VOC,weighted,9,B.1.617.2,20.8-39.0%,0.292682707
19-Jun-21,VOC,weighted,9,B.1.617.2,38.0-51.7%,0.447871178
26-Jun-21,VOC,weighted,9,B.1.617.2,51.8-68.9%,0.605456173
3-Jul-21,VOC,weighted,9,B.1.617.2,65.3-79.5%,0.728182554
10-Jul-21,VOC,weighted,9,B.1.617.2,80.4-87.4%,0.841791153
17-Jul-21,VOC,weighted,9,B.1.617.2,88.0-91.5%,0.898555815
24-Jul-21,VOC,weighted,9,B.1.617.2,94.0-95.8%,0.949476123
31-Jul-21,VOC,weighted,9,B.1.617.2,95.8-97.4%,0.966330767
7-Aug-21,VOC,weighted,9,B.1.617.2,95.7-98.9%,0.977106094
14-Aug-21,VOC,weighted,9,B.1.617.2,98.5-99.3%,0.989996791
21-Aug-21,VOC,weighted,9,B.1.617.2,98.5-99.6%,0.992131114
28-Aug-21,VOC,weighted,9,B.1.617.2,96.7-99.9%,0.990158439
4-Sep-21,VOC,weighted,9,B.1.617.2,98.0-99.8%,0.99237138
11-Sep-21,VOC,weighted,9,B.1.617.2,99.1-99.8%,0.995881438
18-Sep-21,VOC,weighted,9,B.1.617.2,98.6-99.9%,0.995778739
25-Sep-21,VOC,weighted,9,B.1.617.2,97.5-100.0%,0.994650006
2-Oct-21,VOC,weighted,9,B.1.617.2,98.8-100.0%,0.996849954
9-Oct-21,VOC,weighted,9,B.1.617.2,97.5-99.8%,0.991138101
16-Oct-21,VOC,weighted,9,B.1.617.2,95.2-99.9%,0.987667322
23-Oct-21,VOC,weighted,9,B.1.617.2,96.9-99.9%,0.992672205
30-Oct-21,VOC,weighted,9,B.1.617.2,96.5-99.9%,0.992065668
6-Nov-21,VOC,weighted,9,B.1.617.2,95.4-99.9%,0.98922807
13-Nov-21,VOC,weighted,9,B.1.617.2,95.6-99.9%,0.987819791
20-Nov-21,VOC,weighted,9,B.1.617.2,95.5-99.8%,0.986550987
27-Nov-21,VOC,weighted,9,B.1.617.2,97.5-99.9%,0.99296391
4-Dec-21,VOC,weighted,9,B.1.617.2,99.6-99.9%,0.997815609
11-Dec-21,VOC,weighted,9,B.1.617.2,94.2-97.5%,0.961183906
18-Dec-21,VOC,weighted,9,B.1.617.2,46.7-76.1%,0.622230709
8-May-21,VOC,weighted,9,B.1.1.529,NA,0
15-May-21,VOC,weighted,9,B.1.1.529,NA,0
22-May-21,VOC,weighted,9,B.1.1.529,NA,0
29-May-21,VOC,weighted,9,B.1.1.529,NA,0
5-Jun-21,VOC,weighted,9,B.1.1.529,NA,0
12-Jun-21,VOC,weighted,9,B.1.1.529,NA,0
19-Jun-21,VOC,weighted,9,B.1.1.529,NA,0
26-Jun-21,VOC,weighted,9,B.1.1.529,NA,0
3-Jul-21,VOC,weighted,9,B.1.1.529,NA,0
10-Jul-21,VOC,weighted,9,B.1.1.529,NA,0
17-Jul-21,VOC,weighted,9,B.1.1.529,NA,0
24-Jul-21,VOC,weighted,9,B.1.1.529,NA,0
31-Jul-21,VOC,weighted,9,B.1.1.529,NA,0
7-Aug-21,VOC,weighted,9,B.1.1.529,NA,0
14-Aug-21,VOC,weighted,9,B.1.1.529,NA,0
21-Aug-21,VOC,weighted,9,B.1.1.529,NA,0
28-Aug-21,VOC,weighted,9,B.1.1.529,NA,0
4-Sep-21,VOC,weighted,9,B.1.1.529,NA,0
11-Sep-21,VOC,weighted,9,B.1.1.529,NA,0
18-Sep-21,VOC,weighted,9,B.1.1.529,NA,0
25-Sep-21,VOC,weighted,9,B.1.1.529,NA,0
2-Oct-21,VOC,weighted,9,B.1.1.529,NA,0
9-Oct-21,VOC,weighted,9,B.1.1.529,NA,0
16-Oct-21,VOC,weighted,9,B.1.1.529,NA,0
23-Oct-21,VOC,weighted,9,B.1.1.529,NA,0
30-Oct-21,VOC,weighted,9,B.1.1.529,NA,0
6-Nov-21,VOC,weighted,9,B.1.1.529,NA,0
13-Nov-21,VOC,weighted,9,B.1.1.529,NA,0
20-Nov-21,VOC,weighted,9,B.1.1.529,NA,0
27-Nov-21,VOC,weighted,9,B.1.1.529,0.0-0.1%,0.000169782
4-Dec-21,VOC,weighted,9,B.1.1.529,0.1-0.3%,0.00160647
11-Dec-21,VOC,weighted,9,B.1.1.529,2.4-5.6%,0.037719794
18-Dec-21,VOC,weighted,9,B.1.1.529,23.4-53.5%,0.375931531
8-May-21,VOC,weighted,10,B.1.617.2,0.3-4.6%,0.015085923
15-May-21,VOC,weighted,10,B.1.617.2,0.4-6.1%,0.021196859
22-May-21,VOC,weighted,10,B.1.617.2,0.7-7.8%,0.029772263
29-May-21,VOC,weighted,10,B.1.617.2,2.2-7.8%,0.044257052
5-Jun-21,VOC,weighted,10,B.1.617.2,4.4-16.3%,0.091257654
12-Jun-21,VOC,weighted,10,B.1.617.2,4.6-27.4%,0.131636709
19-Jun-21,VOC,weighted,10,B.1.617.2,10.2-32.8%,0.197605789
26-Jun-21,VOC,weighted,10,B.1.617.2,17.5-55.5%,0.347306788
3-Jul-21,VOC,weighted,10,B.1.617.2,43.0-65.5%,0.544361234
10-Jul-21,VOC,weighted,10,B.1.617.2,64.7-83.7%,0.75081706
17-Jul-21,VOC,weighted,10,B.1.617.2,79.8-90.9%,0.860393584
24-Jul-21,VOC,weighted,10,B.1.617.2,90.7-93.8%,0.923428655
31-Jul-21,VOC,weighted,10,B.1.617.2,94.9-97.2%,0.961815894
7-Aug-21,VOC,weighted,10,B.1.617.2,96.7-98.4%,0.976835549
14-Aug-21,VOC,weighted,10,B.1.617.2,98.5-99.3%,0.989024222
21-Aug-21,VOC,weighted,10,B.1.617.2,98.8-99.4%,0.991253674
28-Aug-21,VOC,weighted,10,B.1.617.2,98.8-99.8%,0.994304836
4-Sep-21,VOC,weighted,10,B.1.617.2,99.6-100.0%,0.998586237
11-Sep-21,VOC,weighted,10,B.1.617.2,98.8-99.8%,0.995035827
18-Sep-21,VOC,weighted,10,B.1.617.2,98.7-99.9%,0.99485755
25-Sep-21,VOC,weighted,10,B.1.617.2,99.4-100.0%,0.997967064
2-Oct-21,VOC,weighted,10,B.1.617.2,99.2-99.9%,0.996869743
9-Oct-21,VOC,weighted,10,B.1.617.2,98.7-99.9%,0.995363593
16-Oct-21,VOC,weighted,10,B.1.617.2,98.7-99.9%,0.995938659
23-Oct-21,VOC,weighted,10,B.1.617.2,98.6-100.0%,0.996772349
30-Oct-21,VOC,weighted,10,B.1.617.2,98.5-99.9%,0.994818032
6-Nov-21,VOC,weighted,10,B.1.617.2,99.5-100.0%,0.99865675
13-Nov-21,VOC,weighted,10,B.1.617.2,97.1-99.9%,0.992267966
20-Nov-21,VOC,weighted,10,B.1.617.2,97.9-99.9%,0.992979109
27-Nov-21,VOC,weighted,10,B.1.617.2,98.1-100.0%,0.996745646
4-Dec-21,VOC,weighted,10,B.1.617.2,99.6-100.0%,0.999351382
11-Dec-21,VOC,weighted,10,B.1.617.2,75.6-97.2%,0.897154808
18-Dec-21,VOC,weighted,10,B.1.617.2,38.5-75.7%,0.578913093
8-May-21,VOC,weighted,10,B.1.1.529,NA,0
15-May-21,VOC,weighted,10,B.1.1.529,NA,0
22-May-21,VOC,weighted,10,B.1.1.529,NA,0
29-May-21,VOC,weighted,10,B.1.1.529,NA,0
5-Jun-21,VOC,weighted,10,B.1.1.529,NA,0
12-Jun-21,VOC,weighted,10,B.1.1.529,NA,0
19-Jun-21,VOC,weighted,10,B.1.1.529,NA,0
26-Jun-21,VOC,weighted,10,B.1.1.529,NA,0
3-Jul-21,VOC,weighted,10,B.1.1.529,NA,0
10-Jul-21,VOC,weighted,10,B.1.1.529,NA,0
17-Jul-21,VOC,weighted,10,B.1.1.529,NA,0
24-Jul-21,VOC,weighted,10,B.1.1.529,NA,0
31-Jul-21,VOC,weighted,10,B.1.1.529,NA,0
7-Aug-21,VOC,weighted,10,B.1.1.529,NA,0
14-Aug-21,VOC,weighted,10,B.1.1.529,NA,0
21-Aug-21,VOC,weighted,10,B.1.1.529,NA,0
28-Aug-21,VOC,weighted,10,B.1.1.529,NA,0
4-Sep-21,VOC,weighted,10,B.1.1.529,NA,0
11-Sep-21,VOC,weighted,10,B.1.1.529,NA,0
18-Sep-21,VOC,weighted,10,B.1.1.529,NA,0
25-Sep-21,VOC,weighted,10,B.1.1.529,NA,0
2-Oct-21,VOC,weighted,10,B.1.1.529,NA,0
9-Oct-21,VOC,weighted,10,B.1.1.529,NA,0
16-Oct-21,VOC,weighted,10,B.1.1.529,NA,0
23-Oct-21,VOC,weighted,10,B.1.1.529,NA,0
30-Oct-21,VOC,weighted,10,B.1.1.529,NA,0
6-Nov-21,VOC,weighted,10,B.1.1.529,NA,0
13-Nov-21,VOC,weighted,10,B.1.1.529,NA,0
20-Nov-21,VOC,weighted,10,B.1.1.529,NA,0
27-Nov-21,VOC,weighted,10,B.1.1.529,NA,0
4-Dec-21,VOC,weighted,10,B.1.1.529,NA,0
11-Dec-21,VOC,weighted,10,B.1.1.529,2.8-24.4%,0.10284517
18-Dec-21,VOC,weighted,10,B.1.1.529,23.3-61.5%,0.414338648
25-Dec-21,VOC,smoothed,USA,B.1.617.2,17.5-29.0%,0.227843031
1-Jan-22,VOC,smoothed,USA,B.1.617.2,2.9-7.0%,0.045949478
25-Dec-21,VOC,smoothed,USA,B.1.1.529,70.8-82.3%,0.770369947
1-Jan-22,VOC,smoothed,USA,B.1.1.529,92.9-97.0%,0.953696966
25-Dec-21,VOC,smoothed,1,B.1.617.2,47.3-67.6%,0.577788353
1-Jan-22,VOC,smoothed,1,B.1.617.2,10.7-27.3%,0.175650477
25-Dec-21,VOC,smoothed,1,B.1.1.529,32.1-52.5%,0.419414967
1-Jan-22,VOC,smoothed,1,B.1.1.529,72.6-89.3%,0.823506534
25-Dec-21,VOC,smoothed,2,B.1.617.2,5.9-20.8%,0.115471371
1-Jan-22,VOC,smoothed,2,B.1.617.2,0.9-4.3%,0.019832205
25-Dec-21,VOC,smoothed,2,B.1.1.529,79.0-94.0%,0.883444846
1-Jan-22,VOC,smoothed,2,B.1.1.529,95.7-99.1%,0.979983211
25-Dec-21,VOC,smoothed,3,B.1.617.2,18.6-43.7%,0.297576249
1-Jan-22,VOC,smoothed,3,B.1.617.2,3.0-11.9%,0.061674956
25-Dec-21,VOC,smoothed,3,B.1.1.529,56.1-81.3%,0.700707734
1-Jan-22,VOC,smoothed,3,B.1.1.529,88.1-97.0%,0.937972426
25-Dec-21,VOC,smoothed,4,B.1.617.2,7.0-26.0%,0.142212033
1-Jan-22,VOC,smoothed,4,B.1.617.2,1.0-5.7%,0.025065156
25-Dec-21,VOC,smoothed,4,B.1.1.529,73.8-92.9%,0.856200278
1-Jan-22,VOC,smoothed,4,B.1.1.529,94.2-99.0%,0.974657357
25-Dec-21,VOC,smoothed,5,B.1.617.2,17.1-47.0%,0.301290035
1-Jan-22,VOC,smoothed,5,B.1.617.2,2.7-13.2%,0.062767409
25-Dec-21,VOC,smoothed,5,B.1.1.529,52.7-82.7%,0.696164131
1-Jan-22,VOC,smoothed,5,B.1.1.529,86.7-97.3%,0.936706722
25-Dec-21,VOC,smoothed,6,B.1.617.2,3.7-24.1%,0.104328081
1-Jan-22,VOC,smoothed,6,B.1.617.2,0.5-5.2%,0.017738704
25-Dec-21,VOC,smoothed,6,B.1.1.529,75.6-96.2%,0.894247293
1-Jan-22,VOC,smoothed,6,B.1.1.529,94.7-99.5%,0.982021153
25-Dec-21,VOC,smoothed,7,B.1.617.2,44.9-81.0%,0.648566484
1-Jan-22,VOC,smoothed,7,B.1.617.2,10.2-41.3%,0.224394068
25-Dec-21,VOC,smoothed,7,B.1.1.529,18.8-54.4%,0.346301883
1-Jan-22,VOC,smoothed,7,B.1.1.529,58.5-89.7%,0.773845494
25-Dec-21,VOC,smoothed,8,B.1.617.2,3.3-65.9%,0.236750737
1-Jan-22,VOC,smoothed,8,B.1.617.2,0.4-22.1%,0.04589124
25-Dec-21,VOC,smoothed,8,B.1.1.529,33.7-96.7%,0.761901736
1-Jan-22,VOC,smoothed,8,B.1.1.529,77.8-99.6%,0.953849792
25-Dec-21,VOC,smoothed,9,B.1.617.2,19.3-32.1%,0.251637936
1-Jan-22,VOC,smoothed,9,B.1.617.2,3.2-7.6%,0.049577966
25-Dec-21,VOC,smoothed,9,B.1.1.529,67.6-80.7%,0.746632576
1-Jan-22,VOC,smoothed,9,B.1.1.529,92.3-96.8%,0.950084209
25-Dec-21,VOC,smoothed,10,B.1.617.2,7.0-57.6%,0.255555451
1-Jan-22,VOC,smoothed,10,B.1.617.2,1.0-17.4%,0.050526649
25-Dec-21,VOC,smoothed,10,B.1.1.529,42.2-93.0%,0.74337703
1-Jan-22,VOC,smoothed,10,B.1.1.529,82.5-99.0%,0.94926405
8-May-21,Other,weighted,USA,Other*,98.0-98.7%,0.983424366
15-May-21,Other,weighted,USA,Other*,97.0-98.1%,0.976055682
22-May-21,Other,weighted,USA,Other*,95.1-96.9%,0.960347235
29-May-21,Other,weighted,USA,Other*,90.8-94.2%,0.926048696
5-Jun-21,Other,weighted,USA,Other*,81.6-88.5%,0.853005946
12-Jun-21,Other,weighted,USA,Other*,69.3-78.0%,0.738007247
19-Jun-21,Other,weighted,USA,Other*,57.4-67.3%,0.624617755
26-Jun-21,Other,weighted,USA,Other*,40.3-49.9%,0.450483203
3-Jul-21,Other,weighted,USA,Other*,26.8-32.8%,0.297501028
10-Jul-21,Other,weighted,USA,Other*,15.9-19.8%,0.177871302
17-Jul-21,Other,weighted,USA,Other*,10.4-13.5%,0.118938684
24-Jul-21,Other,weighted,USA,Other*,4.9-6.2%,0.055128958
31-Jul-21,Other,weighted,USA,Other*,2.9-4.1%,0.034365788
7-Aug-21,Other,weighted,USA,Other*,2.1-3.6%,0.027884074
14-Aug-21,Other,weighted,USA,Other*,0.9-1.5%,0.012069375
21-Aug-21,Other,weighted,USA,Other*,0.7-1.4%,0.010405215
28-Aug-21,Other,weighted,USA,Other*,0.9-2.2%,0.014462233
4-Sep-21,Other,weighted,USA,Other*,0.5-1.2%,0.00804198
11-Sep-21,Other,weighted,USA,Other*,0.4-1.0%,0.006904112
18-Sep-21,Other,weighted,USA,Other*,0.5-1.2%,0.008306078
25-Sep-21,Other,weighted,USA,Other*,0.5-1.1%,0.007305912
2-Oct-21,Other,weighted,USA,Other*,0.5-1.1%,0.00720788
9-Oct-21,Other,weighted,USA,Other*,0.6-1.1%,0.007972967
16-Oct-21,Other,weighted,USA,Other*,0.5-1.2%,0.008041032
23-Oct-21,Other,weighted,USA,Other*,0.6-1.4%,0.009529907
30-Oct-21,Other,weighted,USA,Other*,0.5-1.1%,0.007533389
6-Nov-21,Other,weighted,USA,Other*,0.9-1.9%,0.012862731
13-Nov-21,Other,weighted,USA,Other*,0.9-1.9%,0.013726715
20-Nov-21,Other,weighted,USA,Other*,1.1-2.2%,0.016012691
27-Nov-21,Other,weighted,USA,Other*,0.6-1.3%,0.00874442
4-Dec-21,Other,weighted,USA,Other*,0.1-0.3%,0.001975407
11-Dec-21,Other,weighted,USA,Other*,0.2-0.5%,0.002851092
18-Dec-21,Other,weighted,USA,Other*,0.4-0.8%,0.005615212
8-May-21,Other,weighted,1,Other*,97.9-98.9%,0.984785616
15-May-21,Other,weighted,1,Other*,96.1-98.6%,0.975628793
22-May-21,Other,weighted,1,Other*,93.5-97.0%,0.954996526
29-May-21,Other,weighted,1,Other*,90.7-95.9%,0.936568797
5-Jun-21,Other,weighted,1,Other*,86.3-96.2%,0.922578216
12-Jun-21,Other,weighted,1,Other*,91.6-97.2%,0.948786616
19-Jun-21,Other,weighted,1,Other*,69.0-82.6%,0.762764096
26-Jun-21,Other,weighted,1,Other*,53.9-74.2%,0.645172358
3-Jul-21,Other,weighted,1,Other*,41.2-58.0%,0.496036679
10-Jul-21,Other,weighted,1,Other*,16.7-27.7%,0.218213484
17-Jul-21,Other,weighted,1,Other*,6.2-10.7%,0.082278498
24-Jul-21,Other,weighted,1,Other*,3.0-5.8%,0.042361163
31-Jul-21,Other,weighted,1,Other*,3.0-5.2%,0.039806962
7-Aug-21,Other,weighted,1,Other*,1.7-3.2%,0.023389043
14-Aug-21,Other,weighted,1,Other*,0.9-2.2%,0.014332226
21-Aug-21,Other,weighted,1,Other*,0.6-2.2%,0.012564878
28-Aug-21,Other,weighted,1,Other*,0.3-1.6%,0.008004903
4-Sep-21,Other,weighted,1,Other*,0.1-0.9%,0.003899463
11-Sep-21,Other,weighted,1,Other*,0.1-0.3%,0.001736535
18-Sep-21,Other,weighted,1,Other*,0.0-0.4%,0.001458029
25-Sep-21,Other,weighted,1,Other*,0.0-1.2%,0.002950233
2-Oct-21,Other,weighted,1,Other*,0.0-0.8%,0.002475973
9-Oct-21,Other,weighted,1,Other*,0.0-1.2%,0.002873541
16-Oct-21,Other,weighted,1,Other*,0.0-0.7%,0.002272697
23-Oct-21,Other,weighted,1,Other*,0.0-1.6%,0.003636116
30-Oct-21,Other,weighted,1,Other*,0.1-2.1%,0.006419799
6-Nov-21,Other,weighted,1,Other*,0.0-1.1%,0.00285321
13-Nov-21,Other,weighted,1,Other*,0.1-2.3%,0.00718494
20-Nov-21,Other,weighted,1,Other*,0.1-2.5%,0.007573157
27-Nov-21,Other,weighted,1,Other*,0.1-1.6%,0.004810433
4-Dec-21,Other,weighted,1,Other*,0.0-0.4%,0.000812216
11-Dec-21,Other,weighted,1,Other*,0.0-0.3%,0.000936654
18-Dec-21,Other,weighted,1,Other*,0.3-1.5%,0.007211196
8-May-21,Other,weighted,2,Other*,96.7-99.1%,0.981577456
15-May-21,Other,weighted,2,Other*,94.1-98.5%,0.967741549
22-May-21,Other,weighted,2,Other*,91.7-98.7%,0.962508917
29-May-21,Other,weighted,2,Other*,83.1-98.2%,0.931531072
5-Jun-21,Other,weighted,2,Other*,71.4-94.7%,0.858093441
12-Jun-21,Other,weighted,2,Other*,64.0-80.1%,0.726036131
19-Jun-21,Other,weighted,2,Other*,51.4-71.1%,0.615729034
26-Jun-21,Other,weighted,2,Other*,28.8-57.7%,0.428176612
3-Jul-21,Other,weighted,2,Other*,19.5-39.0%,0.285183311
10-Jul-21,Other,weighted,2,Other*,9.7-29.1%,0.179350272
17-Jul-21,Other,weighted,2,Other*,9.9-18.8%,0.139155343
24-Jul-21,Other,weighted,2,Other*,3.9-6.1%,0.048825443
31-Jul-21,Other,weighted,2,Other*,1.7-4.6%,0.029235307
7-Aug-21,Other,weighted,2,Other*,1.4-3.2%,0.021444054
14-Aug-21,Other,weighted,2,Other*,0.4-1.8%,0.009253358
21-Aug-21,Other,weighted,2,Other*,0.3-1.1%,0.00610847
28-Aug-21,Other,weighted,2,Other*,0.5-4.5%,0.018424412
4-Sep-21,Other,weighted,2,Other*,0.3-2.7%,0.010915777
11-Sep-21,Other,weighted,2,Other*,0.1-0.7%,0.002818525
18-Sep-21,Other,weighted,2,Other*,0.1-2.9%,0.00864511
25-Sep-21,Other,weighted,2,Other*,0.1-0.7%,0.003108568
2-Oct-21,Other,weighted,2,Other*,0.2-2.7%,0.009363032
9-Oct-21,Other,weighted,2,Other*,0.1-2.1%,0.006936025
16-Oct-21,Other,weighted,2,Other*,0.1-0.8%,0.003412252
23-Oct-21,Other,weighted,2,Other*,0.1-1.9%,0.006025383
30-Oct-21,Other,weighted,2,Other*,0.1-2.1%,0.006516837
6-Nov-21,Other,weighted,2,Other*,0.4-4.2%,0.016630428
13-Nov-21,Other,weighted,2,Other*,0.4-3.3%,0.013827362
20-Nov-21,Other,weighted,2,Other*,0.6-4.9%,0.019955082
27-Nov-21,Other,weighted,2,Other*,0.4-4.5%,0.016516369
4-Dec-21,Other,weighted,2,Other*,0.0-1.0%,0.002928566
11-Dec-21,Other,weighted,2,Other*,0.6-1.6%,0.010077376
18-Dec-21,Other,weighted,2,Other*,0.2-1.3%,0.005204871
8-May-21,Other,weighted,3,Other*,98.7-99.7%,0.993181467
15-May-21,Other,weighted,3,Other*,98.0-99.6%,0.98985523
22-May-21,Other,weighted,3,Other*,96.3-98.8%,0.978294671
29-May-21,Other,weighted,3,Other*,95.6-99.0%,0.977080703
5-Jun-21,Other,weighted,3,Other*,90.9-97.0%,0.945128202
12-Jun-21,Other,weighted,3,Other*,86.2-95.4%,0.916481256
19-Jun-21,Other,weighted,3,Other*,74.3-90.5%,0.835397482
26-Jun-21,Other,weighted,3,Other*,25.7-77.6%,0.520243049
3-Jul-21,Other,weighted,3,Other*,31.5-49.7%,0.403365731
10-Jul-21,Other,weighted,3,Other*,22.7-38.1%,0.299795628
17-Jul-21,Other,weighted,3,Other*,11.6-19.9%,0.154254749
24-Jul-21,Other,weighted,3,Other*,4.7-9.5%,0.068077832
31-Jul-21,Other,weighted,3,Other*,1.7-3.0%,0.022917395
7-Aug-21,Other,weighted,3,Other*,1.0-2.8%,0.016938472
14-Aug-21,Other,weighted,3,Other*,0.5-1.5%,0.009219051
21-Aug-21,Other,weighted,3,Other*,0.2-1.2%,0.005916572
28-Aug-21,Other,weighted,3,Other*,0.3-1.3%,0.006363736
4-Sep-21,Other,weighted,3,Other*,0.1-0.7%,0.00292657
11-Sep-21,Other,weighted,3,Other*,0.1-0.5%,0.002624688
18-Sep-21,Other,weighted,3,Other*,0.1-0.7%,0.002966321
25-Sep-21,Other,weighted,3,Other*,0.2-1.3%,0.005118853
2-Oct-21,Other,weighted,3,Other*,0.1-1.3%,0.004929608
9-Oct-21,Other,weighted,3,Other*,0.2-1.3%,0.005336745
16-Oct-21,Other,weighted,3,Other*,0.2-1.4%,0.00641795
23-Oct-21,Other,weighted,3,Other*,0.2-1.9%,0.007340481
30-Oct-21,Other,weighted,3,Other*,0.1-1.3%,0.005215948
6-Nov-21,Other,weighted,3,Other*,0.4-3.7%,0.014151734
13-Nov-21,Other,weighted,3,Other*,0.3-2.6%,0.010323958
